subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
182	173	25	0	24	1
182	5	25	0	19	1
182	16	30	0	15	1
182	159	35	0	25	1
182	48	25	0	17	1
182	119	35	0	16	1
182	35	35	0	11	1
182	87	30	0	29	1
182	9	30	0	22	1
182	109	30	0	11	0
182	30	25	0	21	1
182	168	35	0	17	1
182	106	30	0	18	0
182	6	35	0	14	1
182	3	30	0	23	1
182	12	35	0	12	1
182	170	30	0	29	0
182	76	25	0	21	1
182	113	30	0	28	0
182	180	25	0	24	1
182	136	25	0	22	0
182	130	30	0	29	1
182	43	35	0	13	1
182	98	25	0	18	0
182	81	35	0	31	0
182	145	25	0	23	0
182	11	25	0	12	1
182	111	30	0	27	0
182	25	35	0	10	1
182	158	25	0	20	1
182	99	35	0	10	0
182	1	25	0	20	1
182	44	30	0	27	0
182	126	30	0	20	0
182	15	30	0	26	0
182	160	35	0	34	1
182	45	30	0	28	1
182	8	30	0	25	1
182	4	30	0	15	1
182	22	35	0	26	0
182	112	25	0	24	1
182	61	35	0	33	1
182	7	30	0	14	1
182	152	35	0	33	1
182	41	35	0	30	1
182	37	25	0	13	1
182	14	25	0	16	1
182	2	25	0	19	1
182	58	25	0	13	1
182	47	35	0	34	0
