subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
514	4	30	0	15	1
514	160	35	0	34	1
514	112	25	0	24	1
514	168	35	0	17	1
514	58	25	0	13	1
514	6	35	0	14	1
514	14	25	0	16	1
514	45	30	0	28	0
514	43	35	0	13	1
514	3	30	0	23	1
514	16	30	0	15	1
514	30	25	0	21	0
514	47	35	0	34	0
514	35	35	0	11	1
514	41	35	0	30	1
514	81	35	0	31	0
514	126	30	0	20	1
514	145	25	0	23	0
514	8	30	0	25	1
514	61	35	0	33	0
514	48	25	0	17	0
514	110	35	0	34	0
514	109	30	0	11	1
514	7	30	0	14	1
514	130	30	0	29	1
514	1	25	0	20	1
514	25	35	0	10	1
514	5	25	0	19	1
514	136	25	0	22	0
514	2	25	0	19	1
514	106	30	0	18	1
514	44	30	0	27	1
514	11	25	0	12	1
514	76	25	0	21	0
514	9	30	0	22	1
514	152	35	0	33	0
514	158	25	0	20	1
514	113	30	0	28	1
514	180	25	0	24	0
514	170	30	0	29	1
514	22	35	0	26	1
514	119	35	0	16	0
514	159	35	0	25	0
514	12	35	0	12	1
514	99	35	0	10	0
514	15	30	0	26	0
514	173	25	0	24	0
514	87	30	0	29	1
514	111	30	0	27	1
