subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
624	136	25	0	22	1
624	112	25	0	24	0
624	106	30	0	18	0
624	5	25	0	19	0
624	87	30	0	29	1
624	35	35	0	11	0
624	45	30	0	28	0
624	48	25	0	17	1
624	12	35	0	12	0
624	44	30	0	27	1
624	61	35	0	33	1
624	111	30	0	27	1
624	6	35	0	14	0
624	15	30	0	26	0
624	152	35	0	33	1
624	16	30	0	15	0
624	22	35	0	26	0
624	119	35	0	16	0
624	173	25	0	24	0
624	8	30	0	25	0
624	130	30	0	29	1
624	47	35	0	34	1
624	58	25	0	13	0
624	160	35	0	34	1
624	110	35	0	34	0
624	126	30	0	20	1
624	11	25	0	12	0
624	43	35	0	13	0
624	14	25	0	16	0
624	158	25	0	20	1
624	41	35	0	30	0
624	113	30	0	28	0
624	4	30	0	15	0
624	25	35	0	10	0
624	1	25	0	20	0
624	145	25	0	23	0
624	2	25	0	19	0
624	3	30	0	23	0
624	168	35	0	17	0
624	180	25	0	24	1
624	170	30	0	29	0
624	109	30	0	11	0
624	159	35	0	25	0
624	30	25	0	21	0
624	81	35	0	31	1
624	37	25	0	13	0
624	98	25	0	18	0
624	9	30	0	22	0
624	99	35	0	10	0
624	76	25	0	21	0
624	7	30	0	14	0
